main_topic,description_1,bill_link,bill_name,current_status,house_progress,senate_progress,after_passage_progress,description_2,sponsors,requester,democrat_sponsor_count,republican_sponsor_count
COMPUTERS,"Personal information, captured, processing by business entities, people's privacy act concerning",https://app.leg.wa.gov/billsummary?BillNumber=1433&Year=2021&Initiative=false,HB 1433,Civil R & Judi,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Creating a charter of people's personal data rights.,"Kloba, Sutherland, Ryu, Jesse Johnson, Valdez, Dolan, Young, Ramel, Bergquist, Eslick, Jacobsen, Harris-Talley",No Requester,9,5
COMPUTERS,"Personal information, digital data breach reimbursement claims program, creating",https://app.leg.wa.gov/billsummary?BillNumber=5462&Year=2021&Initiative=false,SB 5462,"Environment, E","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning claims due to a breach of the security of a state database or information technology system.,Honeyford,No Requester,0,1
COMPUTERS,"Personal information, state digital data breach account, creating",https://app.leg.wa.gov/billsummary?BillNumber=5462&Year=2021&Initiative=false,SB 5462,"Environment, E","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning claims due to a breach of the security of a state database or information technology system.,Honeyford,No Requester,0,1
COMPUTERS,"Personal/sensitive data, data brokers processing/acquiring, consumer consent/rights and broker requirements",https://app.leg.wa.gov/billsummary?BillNumber=5813&Year=2021&Initiative=false,SB 5813,"Environment, E","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Establishing data privacy protections to strengthen a consumer's ability to access, manage, and protect their personal data.","Carlyle, Nguyen, Liias, Lovick, Pedersen",No Requester,5,0
COMPUTERS,"Personal/sensitive data, of children/adolescents, collection/processing of, consent/rights/assessments/duties",https://app.leg.wa.gov/billsummary?BillNumber=5813&Year=2021&Initiative=false,SB 5813,"Environment, E","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Establishing data privacy protections to strengthen a consumer's ability to access, manage, and protect their personal data.","Carlyle, Nguyen, Liias, Lovick, Pedersen",No Requester,5,0
COMPUTERS,"Personal/sensitive data, processing for targeted advertising and sale, consumer right to opt out of",https://app.leg.wa.gov/billsummary?BillNumber=5813&Year=2021&Initiative=false,SB 5813,"Environment, E","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Establishing data privacy protections to strengthen a consumer's ability to access, manage, and protect their personal data.","Carlyle, Nguyen, Liias, Lovick, Pedersen",No Requester,5,0
COMPUTERS,"Personally identifiable information, doxing of, gross misdemeanor",https://app.leg.wa.gov/billsummary?BillNumber=5881&Year=2021&Initiative=false,SB 5881,Law & Justice,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning doxing.,"Lovick, Pedersen, Claire Wilson",No Requester,3,2
COMPUTERS,"Public schools, technology equity gaps in, state plan for reducing",https://app.leg.wa.gov/billsummary?BillNumber=1450&Year=2021&Initiative=false,HB 1450,Education,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Procuring, and supporting the use of, appropriate computers and devices for public school students and instructional staff by levying a tax on wireless devices.","Gregerson, Stonier, Tharinger, Dolan, Fitzgibbon, Hansen, Lovick, Berry, Callan, Ryu, Taylor, Davis, Wicks, Simmons, Valdez, Senn, Jesse Johnson, Ramel, Kloba, Bergquist, Ormsby, Riccelli, Pollet, Ortiz-Self, Duerr, Hackney, Thai, Berg, Harris-Talley, Macri",No Requester,29,1
COMPUTERS,"Ransomware education and outreach program, for public agencies, establishing",https://app.leg.wa.gov/billsummary?BillNumber=5916&Year=2021&Initiative=false,SB 5916,"Environment, E","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning the protection of critical constituent and state operational data against the financial and personal harm caused by ransomware and other malicious cyber activities.,"Mullet, Conway, Fortunato, Nguyen, Wagoner",No Requester,3,2
COMPUTERS,"Ransomware protection act, Washington state",https://app.leg.wa.gov/billsummary?BillNumber=5916&Year=2021&Initiative=false,SB 5916,"Environment, E","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning the protection of critical constituent and state operational data against the financial and personal harm caused by ransomware and other malicious cyber activities.,"Mullet, Conway, Fortunato, Nguyen, Wagoner",No Requester,3,2
